field,year,point,start_depth,end_depth,lon,lat,dry_weight,soc,bd,soc (t/ha)
ICG-Field-4,2020,18,0,12,-88.021798,39.9257206,192.3,1.94,1.2394,73.28720928
ICG-Field-4,2020,8,0,12,-88.020976,39.9255477,173.8,2.68,1.249,102.0263136
ICG-Field-4,2020,3,0,12,-88.019689,39.925559,268.7,2.84,1.2592,109.0003814
ICG-Field-4,2020,11,0,12,-88.019927,39.9258272,200.2,2.12,1.2556,81.13385856
ICG-Field-4,2020,14,0,12,-88.019819,39.9264588,199.5,2.07,1.2701,80.13518136
ICG-Field-4,2020,10,0,12,-88.020866,39.9259991,182.2,2.45,1.2462,93.0612312
ICG-Field-4,2020,7,0,12,-88.020985,39.9261783,222.9,2.13,1.2359,80.23759416
ICG-Field-4,2020,9,0,12,-88.02157,39.9261731,131.7,2.72,1.2467,103.3584115
ICG-Field-4,2020,5,0,12,-88.022157,39.9262581,219.4,1.82,1.2444,69.03134784
ICG-Field-4,2020,15,0,12,-88.024495,39.9261473,186.4,2.49,1.2489,94.78551528
ICG-Field-4,2020,19,0,12,-88.024607,39.925786,188.1,2.32,1.245,88.038432
ICG-Field-4,2020,4,0,12,-88.024725,39.925875,212.7,2.72,1.3249,109.8416294
ICG-Field-4,2020,2,0,12,-88.025076,39.9258719,169.7,2.59,1.3344,105.3418061
ICG-Field-4,2020,22,0,12,-88.026018,39.926224,197,2.46,1.2552,94.11590016
ICG-Field-4,2020,13,0,12,-88.026365,39.9259506,231.8,2.56,1.3323,103.9577702
ICG-Field-2,2020,22,0,12,-88.02753,39.9274895,175,2.55,1.2626,98.1343224
ICG-Field-2,2020,30,0,12,-88.027781,39.9286585,141.4,2.22,1.2733,86.15860848
ICG-Field-2,2020,7,0,12,-88.026965,39.9288459,149,3.17,1.2555,121.3084188
ICG-Field-2,2020,4,0,12,-88.026852,39.9291172,196.7,3.09,1.2695,119.5655724
ICG-Field-2,2020,5,0,12,-88.026978,39.9297468,223.9,3.34,1.1502,117.0940406
ICG-Field-2,2020,15,0,12,-88.026391,39.9295718,145.6,2.75,1.1502,96.409764
ICG-Field-2,2020,16,0,12,-88.02638,39.9288511,181.2,2.66,1.3911,112.7859365
ICG-Field-2,2020,1,0,12,-88.026491,39.9284897,199,2.51,1.3413,102.6158882
ICG-Field-2,2020,19,0,12,-88.026011,39.9276831,273.5,2.22,1.3889,93.98075184
ICG-Field-2,2020,8,0,12,-88.026356,39.9272296,198.1,1.94,1.3205,78.0827496
ICG-Field-2,2020,23,0,12,-88.025886,39.9271437,230.6,2.21,1.3473,90.75520584
ICG-Field-2,2020,28,0,12,-88.024602,39.9273352,149.3,2.44,1.3333,99.15912096
ICG-Field-2,2020,29,0,12,-88.023551,39.9275247,203,2.64,1.2598,101.3725786
ICG-Field-2,2020,12,0,12,-88.023094,39.9282495,191.2,2.45,1.2511,93.4271436
ICG-Field-2,2020,13,0,12,-88.022861,39.9283416,189.2,2.25,1.2809,87.844122
ICG-Field-2,2020,27,0,12,-88.023218,39.9286989,235,2.73,1.262,105.0115248
ICG-Field-2,2020,20,0,12,-88.022877,39.9294227,183.2,2.14,1.2614,82.27759008
ICG-Field-2,2020,11,0,12,-88.023464,39.9295076,269.2,2.01,1.2522,76.71578256
ICG-Field-2,2020,6,0,12,-88.023818,39.9296846,203.3,2.39,1.2412,90.41794464
ICG-Field-2,2020,26,0,12,-88.024174,39.9300419,225.4,2.13,1.2528,81.33478272
ICG-Field-2,2020,21,0,12,-88.024643,39.9301278,207.5,1.98,1.2616,76.13806464
ICG-Field-2,2020,18,0,12,-88.021834,39.9300625,206.8,2.01,1.3807,84.58830936
ICG-Field-2,2020,17,0,12,-88.020073,39.9297177,232,2.21,1.3406,90.30388848
ICG-Field-2,2020,14,0,12,-88.019834,39.9293594,239.6,2.39,1.274,92.8073328
ICG-Field-2,2020,25,0,12,-88.019944,39.9289079,276.1,1.99,1.271,77.0927592
ICG-Field-2,2020,3,0,12,-88.019819,39.9283684,161,2.48,1.2769,96.52138176
ICG-Field-2,2020,10,0,12,-88.019461,39.9279211,192.6,2.35,1.2569,90.0292332
ICG-Field-2,2020,2,0,12,-88.020399,39.9280029,210.2,1.89,1.2484,71.91682848
ICG-Field-2,2020,9,0,12,-88.020278,39.9277337,256.3,1.47,1.2798,57.34220688
ICG-Field-2,2020,24,0,12,-88.020387,39.9271922,194.6,2.01,1.2481,76.46459688
ICG-Field-1,2020,8,0,12,-88.027419,39.9247033,224.8,2.19,1.3131,87.65100072
ICG-Field-1,2020,20,0,12,-88.027412,39.9242528,284.8,2.06,1.3625,85.54974
ICG-Field-1,2020,7,0,12,-88.027407,39.9238925,255.2,2.07,1.3834,87.28368624
ICG-Field-1,2020,10,0,12,-88.027403,39.9236223,185.5,1.93,1.3758,80.93336112
ICG-Field-1,2020,18,0,12,-88.025769,39.923907,230.5,1.48,1.3725,61.914024
ICG-Field-1,2020,21,0,12,-88.025415,39.9237299,206.7,1.58,1.3519,65.10534096
ICG-Field-1,2020,22,0,12,-88.025063,39.923643,207.6,2.22,1.3519,91.47712464
ICG-Field-1,2020,16,0,12,-88.02448,39.9238283,156.5,2.62,1.3237,105.7075051
ICG-Field-1,2020,17,0,12,-88.023425,39.9236574,171,2.61,1.3342,106.1393458
ICG-Field-1,2020,11,0,12,-88.022138,39.9236688,253.1,1.9,1.3776,79.7795712
ICG-Field-1,2020,5,0,12,-88.020029,39.9235072,181.3,2.1,1.2456,79.7283648
ICG-Field-1,2020,3,0,12,-88.020038,39.9241378,224.3,2.85,1.247,108.324396
ICG-Field-1,2020,6,0,12,-88.01946,39.9245933,175.1,2.84,1.2688,109.8313882
ICG-Field-1,2020,1,0,12,-88.020976,39.9242196,233.6,2.45,1.2493,93.2927268
ICG-Field-1,2020,2,0,12,-88.021208,39.9241275,171.6,2.24,1.2536,85.58979072
ICG-Field-1,2020,4,0,12,-88.0218,39.9245727,240.3,1.74,1.2456,66.06064512
ICG-Field-1,2020,9,0,12,-88.022852,39.9244734,198.6,1.94,1.3844,81.86123328
ICG-Field-1,2020,19,0,12,-88.023203,39.9244703,247.6,2.06,1.2789,80.30059632
ICG-Field-1,2020,13,0,12,-88.02308,39.924111,265.1,1.87,1.3827,78.81058152
ICG-Field-1,2020,12,0,12,-88.024956,39.9243647,203.7,1.61,1.3918,68.29952304
ICG-Field-1,2020,14,0,12,-88.025079,39.924724,228.8,2.17,1.3884,91.83099744
ICG-Field-1,2020,15,0,12,-88.025658,39.9243585,251.3,2.19,1.3419,89.57343528
ICG-Field-6,2020,18,0,12,-89.580875,39.3566189,259,1.77,1.3282,71.65585872
ICG-Field-6,2020,20,0,12,-89.582299,39.3574882,161.3,1.67,1.3305,67.7245788
ICG-Field-6,2020,5,0,12,-89.583247,39.3580077,209.6,1.12,1.2619,43.07823744
ICG-Field-6,2020,13,0,12,-89.583138,39.3581903,208,0.67,1.3781,28.14300696
ICG-Field-6,2020,4,0,12,-89.584426,39.358522,193.2,1.27,1.3928,53.91473088
ICG-Field-6,2020,12,0,12,-89.585261,39.3591341,218,1.7,1.4298,74.0865168
ICG-Field-6,2020,1,0,12,-89.585245,39.358684,219.1,1.35,1.3929,57.3150492
ICG-Field-6,2020,17,0,12,-89.584165,39.357717,183.3,1.58,1.3236,63.74245824
ICG-Field-6,2020,10,0,12,-89.583234,39.3576476,194,1.69,1.3348,68.75714976
ICG-Field-6,2020,9,0,12,-89.582637,39.3572104,172.2,1.98,1.3395,80.8393608
ICG-Field-6,2020,8,0,12,-89.582982,39.3571127,187.8,1.74,1.3349,70.79668848
ICG-Field-6,2020,14,0,12,-89.58379,39.3570046,221.4,1.52,1.31,60.691776
ICG-Field-6,2020,7,0,12,-89.58486,39.3577016,198.9,1.49,1.3432,61.00169664
ICG-Field-6,2020,19,0,12,-89.585089,39.3576064,205.1,1.26,1.3432,51.58532736
ICG-Field-6,2020,16,0,12,-89.585443,39.3577787,175.4,1.37,1.3165,54.9738804
ICG-Field-6,2020,2,0,12,-89.585921,39.3581284,182.6,1.27,1.2724,49.25409504
ICG-Field-6,2020,3,0,12,-89.585553,39.3575961,199.4,1.31,1.2704,50.72554752
ICG-Field-6,2020,22,0,12,-89.586007,39.3573157,213.1,1.76,1.3284,71.26175232
ICG-Field-6,2020,15,0,12,-89.585523,39.3567859,159,1.44,1.3338,58.54208256
ICG-Field-6,2020,11,0,12,-89.584466,39.3564491,187.2,1.73,1.3213,69.67267752
ICG-Field-6,2020,21,0,12,-89.584244,39.3567243,178.4,1.86,1.3412,76.03638336
ICG-Field-6,2020,6,0,12,-89.582031,39.3565031,148.9,1.97,1.3416,80.55717696
ICG-Field-5,2020,4,0,12,-89.574697,39.3629799,202.6,1.47,1.3293,59.56008408
ICG-Field-5,2020,10,0,12,-89.575042,39.3628822,296.9,1.77,1.2858,69.36839568
ICG-Field-5,2020,3,0,12,-89.574551,39.3621723,237.3,1.52,1.2888,59.70958848
ICG-Field-5,2020,13,0,12,-89.574541,39.3619023,230.1,1.66,1.2873,65.13326064
ICG-Field-5,2020,14,0,12,-89.57419,39.3618199,202.3,1.46,1.2871,57.27697968
ICG-Field-5,2020,20,0,12,-89.574177,39.3614599,192.4,1.63,1.2886,64.02074064
ICG-Field-5,2020,11,0,12,-89.573822,39.3612875,184.6,1.56,1.2847,61.08594336
ICG-Field-5,2020,21,0,12,-89.574141,39.3604697,191.7,1.95,1.2837,76.2979932
ICG-Field-5,2020,18,0,12,-89.575058,39.3601791,199.3,1.85,1.2962,73.0901256
ICG-Field-5,2020,9,0,12,-89.575191,39.3606266,175.9,1.54,1.2773,59.95544016
ICG-Field-5,2020,15,0,12,-89.576109,39.360336,178.1,1.7,1.2879,66.7338264
ICG-Field-5,2020,17,0,12,-89.576698,39.3605932,211.3,1.52,1.3189,61.10410944
ICG-Field-5,2020,12,0,12,-89.577275,39.3604904,232.2,1.05,1.294,41.413176
ICG-Field-5,2020,7,0,12,-89.57696,39.3613982,202.1,1.59,1.3365,64.7710668
ICG-Field-5,2020,5,0,12,-89.576012,39.3608787,192.2,1.71,1.3386,69.76890288
ICG-Field-5,2020,2,0,12,-89.576254,39.3611436,167.1,1.73,1.3286,70.05760944
ICG-Field-5,2020,8,0,12,-89.576036,39.3615088,163.3,1.68,1.3376,68.49368064
ICG-Field-5,2020,19,0,12,-89.575949,39.3623215,214.4,1.66,1.2242,61.94060256
ICG-Field-5,2020,22,0,12,-89.577109,39.3622958,189.7,1.52,1.2298,56.97614208
ICG-Field-5,2020,16,0,12,-89.577579,39.3624656,223.3,1.61,1.2854,63.07817712
ICG-Field-5,2020,6,0,12,-89.577719,39.3630931,179.2,1.62,1.2866,63.52922016
ICG-Field-5,2020,1,0,12,-89.577248,39.3629234,176,1.53,1.2845,59.9018868
ICG-Field-7,2020,7,0,12,-88.372252,39.9827866,220.5,1.92,1.3502,79.01586432
ICG-Field-7,2020,23,0,12,-88.372971,39.9835889,164.9,1.6,1.3459,65.6368512
ICG-Field-7,2020,25,0,12,-88.372407,39.9846767,201.9,2.14,1.3495,88.0241064
ICG-Field-7,2020,30,0,12,-88.372544,39.9856661,270.2,1.59,1.349,65.3768568
ICG-Field-7,2020,17,0,12,-88.372807,39.9871045,208,1.46,1.3536,60.23628288
ICG-Field-7,2020,21,0,12,-88.373045,39.9872819,277.4,1.79,1.3343,72.79834056
ICG-Field-7,2020,22,0,12,-88.373293,39.9879997,200.6,1.72,1.3043,68.37871008
ICG-Field-7,2020,6,0,12,-88.37214,39.9889142,223.2,2.25,1.3056,89.538048
ICG-Field-7,2020,15,0,12,-88.371088,39.9890168,224.4,2.06,1.2864,80.77151232
ICG-Field-7,2020,31,0,12,-88.369085,39.9884098,184.5,2.06,1.272,79.8673536
ICG-Field-7,2020,3,0,12,-88.369548,39.9881341,170.7,1.76,1.2901,69.20715648
ICG-Field-7,2020,8,0,12,-88.370726,39.9884805,209.3,1.77,1.3505,72.8589348
ICG-Field-7,2020,19,0,12,-88.372012,39.9883752,232.5,2.03,1.2497,77.32443768
ICG-Field-7,2020,34,0,12,-88.372237,39.9879221,193.5,1.76,1.3454,72.17371392
ICG-Field-7,2020,32,0,12,-88.370477,39.9877627,253.6,1.86,1.3542,76.77338976
ICG-Field-7,2020,26,0,12,-88.369887,39.9874994,202.9,1.51,1.3569,62.45105112
ICG-Field-7,2020,9,0,12,-88.37047,39.9874024,217.9,1.46,1.376,61.2331008
ICG-Field-7,2020,2,0,12,-88.372102,39.9870227,204.2,1.81,1.3558,74.79785904
ICG-Field-7,2020,18,0,12,-88.370223,39.9867747,218.8,2.03,1.2831,79.39104264
ICG-Field-7,2020,5,0,12,-88.369993,39.9869576,251.4,2.2,1.284,86.099904
ICG-Field-7,2020,13,0,12,-88.368815,39.9866111,209.6,1.74,1.3156,69.77310912
ICG-Field-7,2020,27,0,12,-88.371964,39.9859432,228.4,1.75,1.3579,72.430386
ICG-Field-7,2020,4,0,12,-88.372182,39.9851298,163.5,2.17,1.2915,85.4218764
ICG-Field-7,2020,12,0,12,-88.371596,39.9851368,241.6,2.03,1.2895,79.7870388
ICG-Field-7,2020,29,0,12,-88.370658,39.9850578,196.3,1.51,1.3487,62.07364776
ICG-Field-7,2020,24,0,12,-88.369604,39.9850702,226.3,1.69,1.3541,69.75131592
ICG-Field-7,2020,1,0,12,-88.369831,39.9847072,213.3,1.86,1.2885,73.0486728
ICG-Field-7,2020,20,0,12,-88.370297,39.9846116,268,1.71,1.2768,66.54783744
ICG-Field-7,2020,28,0,12,-88.372266,39.9835071,223.7,1.81,1.3605,75.0571524
ICG-Field-7,2020,16,0,12,-88.371794,39.9833325,259.8,1.79,1.3538,73.86224496
ICG-Field-7,2020,33,0,12,-88.37027,39.9832605,271.2,1.82,1.2831,71.17817616
ICG-Field-7,2020,10,0,12,-88.369452,39.9833602,254.5,2.16,1.2717,83.72465856
ICG-Field-7,2020,14,0,12,-88.369903,39.982454,191.3,2.09,1.338,85.2348816
ICG-Field-7,2020,11,0,12,-88.370486,39.982357,272.7,1.85,1.3355,75.306174
ICG-Field-10,2020,20,0,12,-88.160936,40.7209142,350.9,2.4,1.3114,95.9315328
ICG-Field-10,2020,10,0,12,-88.161181,40.7213622,293.6,2.35,1.3896,99.5342688
ICG-Field-10,2020,5,0,12,-88.161188,40.7218125,301.4,1.95,1.3311,79.1152596
ICG-Field-10,2020,21,0,12,-88.161663,40.7218978,281,2.48,1.3272,100.3235789
ICG-Field-10,2020,29,0,12,-88.160847,40.7226267,368.5,1.31,1.367,54.5826696
ICG-Field-10,2020,25,0,12,-88.161087,40.7228045,364.9,0.98,1.3576,40.55205504
ICG-Field-10,2020,9,0,12,-88.16145,40.7232513,307.8,2.57,1.3614,106.643363
ICG-Field-10,2020,6,0,12,-88.161103,40.7237052,238.4,2.19,1.359,90.7148808
ICG-Field-10,2020,14,0,12,-88.161115,40.7244257,228.1,2.77,1.3896,117.3233722
ICG-Field-10,2020,32,0,12,-88.161,40.724607,234.5,2.71,1.3896,114.7820717
ICG-Field-10,2020,15,0,12,-88.16196,40.7253181,432.2,2.49,1.2869,97.66953288
ICG-Field-10,2020,12,0,12,-88.161253,40.7255053,283.8,2.54,1.2711,98.40754512
ICG-Field-10,2020,22,0,12,-88.161385,40.7263148,361.4,2.4,1.2896,94.3368192
ICG-Field-10,2020,13,0,12,-88.160083,40.7263279,320.9,2.24,1.2623,86.18378496
ICG-Field-10,2020,26,0,12,-88.160196,40.7260565,316,2.62,1.2648,101.0038925
ICG-Field-10,2020,27,0,12,-88.159829,40.7253395,310.2,2.79,1.2833,109.1308054
ICG-Field-10,2020,18,0,12,-88.159234,40.7251653,259.5,2.34,1.3247,94.48184304
ICG-Field-10,2020,3,0,12,-88.158167,40.7250859,290.4,2.71,1.1502,95.00744016
ICG-Field-10,2020,19,0,12,-88.158637,40.724901,276.6,3.05,1.3587,126.3101868
ICG-Field-10,2020,24,0,12,-88.159695,40.72444,352.1,2.13,1.3641,88.56064584
ICG-Field-10,2020,16,0,12,-88.158621,40.7240004,412.7,2.26,1.3587,93.59377776
ICG-Field-10,2020,8,0,12,-88.159922,40.7238972,262,2.4,1.3579,99.3331008
ICG-Field-10,2020,11,0,12,-88.160159,40.7238948,347.9,2.16,1.3513,88.96526784
ICG-Field-10,2020,2,0,12,-88.160513,40.7238012,346.5,2.02,1.3626,83.89473696
ICG-Field-10,2020,30,0,12,-88.158254,40.7232834,326.1,2.56,1.3621,106.2830285
ICG-Field-10,2020,31,0,12,-88.158367,40.723012,401.1,2.6,1.3674,108.3637152
ICG-Field-10,2020,28,0,12,-88.159431,40.7229112,309.6,2.09,1.3634,86.85294288
ICG-Field-10,2020,1,0,12,-88.158953,40.7226458,339.8,2.13,1.3896,90.21616704
ICG-Field-10,2020,17,0,12,-88.158829,40.7222867,375.7,1.91,1.3896,80.89806528
ICG-Field-10,2020,4,0,12,-88.158944,40.7221054,333.9,2.54,1.3698,106.0488202
ICG-Field-10,2020,23,0,12,-88.157986,40.7214844,316.6,2.37,1.3896,100.381369
ICG-Field-10,2020,7,0,12,-88.158218,40.7212118,314.2,2.58,1.3163,103.5117259
ICG-Field-9,2020,30,0,12,-88.197319,40.6852414,140.6,2.94,1.3547,121.3962926
ICG-Field-9,2020,16,0,12,-88.198697,40.6895511,132.6,1.99,1.4065,85.3115388
ICG-Field-9,2020,14,0,12,-88.197866,40.6893796,116.3,2.5,1.3896,105.88752
ICG-Field-9,2020,22,0,12,-88.198558,40.6883815,116.5,2.05,1.3316,83.2036944
ICG-Field-9,2020,26,0,12,-88.197965,40.6882975,140,2.85,1.3848,120.2948064
ICG-Field-9,2020,1,0,12,-88.197484,40.6878521,139.2,1.68,1.3812,70.72627968
ICG-Field-9,2020,11,0,12,-88.198288,40.6864925,216.7,2.3,1.3895,97.409508
ICG-Field-9,2020,25,0,12,-88.198271,40.6855918,237.2,1.66,1.379,69.7729872
ICG-Field-9,2020,10,0,12,-88.198147,40.6852328,210,2.19,1.3896,92.75746752
ICG-Field-9,2020,17,0,12,-88.197549,40.6848787,203.3,1.85,1.3589,76.6256532
ICG-Field-9,2020,21,0,12,-88.19658,40.6836275,121.7,2.96,1.3896,125.3708237
ICG-Field-9,2020,27,0,12,-88.19599,40.6837237,125.7,2.05,1.3896,86.8277664
ICG-Field-9,2020,29,0,12,-88.194807,40.683736,122.2,1.58,1.3896,66.92091264
ICG-Field-9,2020,24,0,12,-88.195649,40.684538,125.2,2.3,1.3896,97.4165184
ICG-Field-9,2020,5,0,12,-88.195302,40.684992,116.9,2.07,1.3896,87.67486656
ICG-Field-9,2020,7,0,12,-88.197093,40.6858743,121.6,2.89,1.3896,122.4059731
ICG-Field-9,2020,3,0,12,-88.197453,40.6861408,129.8,3.07,1.3895,130.0205172
ICG-Field-9,2020,13,0,12,-88.197218,40.6862334,117.8,1.93,1.3892,81.72163488
ICG-Field-9,2020,9,0,12,-88.195442,40.6861617,127.4,2.45,1.3896,103.7697696
ICG-Field-9,2020,31,0,12,-88.195587,40.6871009,155.8,2.33,1.3896,98.68716864
ICG-Field-9,2020,18,0,12,-88.196874,40.6868675,137.8,2.06,1.3896,87.25131648
ICG-Field-9,2020,20,0,12,-88.196524,40.6871414,198.8,2.47,1.3896,104.6168698
ICG-Field-9,2020,28,0,12,-88.195827,40.6878693,95.6,1.96,1.3697,81.82697376
ICG-Field-9,2020,8,0,12,-88.196777,40.6880396,145.1,1.43,1.3928,60.70713792
ICG-Field-9,2020,4,0,12,-88.197143,40.6886664,121.9,2.69,1.3672,112.0983686
ICG-Field-9,2020,2,0,12,-88.19679,40.6887602,196.4,2.79,1.3835,117.6517332
ICG-Field-9,2020,6,0,12,-88.194889,40.6883294,177.2,2.95,1.3896,124.9472736
ICG-Field-9,2020,15,0,12,-88.195248,40.688596,199.7,3.16,1.3883,133.7166134
ICG-Field-9,2020,32,0,12,-88.195368,40.6886848,199.3,1.98,1.3896,83.86291584
ICG-Field-9,2020,23,0,12,-88.195499,40.6894041,184.6,2.39,1.3878,101.0973442
ICG-Field-9,2020,19,0,12,-88.195858,40.6895806,180.4,2.51,1.3671,104.5897121
ICG-Field-9,2020,12,0,12,-88.196686,40.689572,223.3,2.01,1.3832,84.74147136
ICG-Field-8,2020,15,0,12,-88.181031,40.6887962,505.4,2.01,1.3896,85.13356608
ICG-Field-8,2020,1,0,12,-88.181234,40.689423,353.8,2.26,1.5,103.3272
ICG-Field-8,2020,10,0,12,-88.180925,40.689518,279.6,2.35,1.3896,99.5342688
ICG-Field-8,2020,22,0,12,-88.180781,40.6898068,308.8,2.2,1.3896,93.1810176
ICG-Field-8,2020,13,0,12,-88.181641,40.689871,377.2,2.04,1.5,93.2688
ICG-Field-8,2020,5,0,12,-88.181993,40.6896872,340.7,2.17,1.3809,91.33493544
ICG-Field-8,2020,12,0,12,-88.182582,40.689501,380.1,2.13,1.3781,89.46955944
ICG-Field-8,2020,9,0,12,-88.182818,40.6894986,370.1,1.88,1.3896,79.62741504
ICG-Field-8,2020,17,0,12,-88.184005,40.6896666,357.1,1.89,1.3896,80.05096512
ICG-Field-8,2020,21,0,12,-88.183284,40.6890434,373.3,2.02,1.3896,85.55711616
ICG-Field-8,2020,18,0,12,-88.182451,40.6887817,328.6,2.78,1.3896,117.7469222
ICG-Field-8,2020,3,0,12,-88.183042,40.6887756,354.7,1.72,1.3896,72.85061376
ICG-Field-8,2020,14,0,12,-88.183161,40.6887744,370.8,2.15,1.3896,91.0632672
ICG-Field-8,2020,16,0,12,-88.183394,40.6885919,383.6,2.41,1.3896,102.0755693
ICG-Field-8,2020,11,0,12,-88.184336,40.6883119,428.4,2.15,1.3896,91.0632672
ICG-Field-8,2020,6,0,12,-88.18326,40.6876924,422,2.19,1.3292,88.72569504
ICG-Field-8,2020,4,0,12,-88.182431,40.6877009,468.1,1.74,1.269,67.3016688
ICG-Field-8,2020,20,0,12,-88.181961,40.6878859,404.7,2.08,1.3896,88.09841664
ICG-Field-8,2020,19,0,12,-88.182304,40.6871617,425.9,1.99,1.3896,84.28646592
ICG-Field-8,2020,2,0,12,-88.181359,40.6872614,416.9,2.2,1.3896,93.1810176
ICG-Field-8,2020,8,0,12,-88.18065,40.6873588,398.7,2.47,1.3896,104.6168698
ICG-Field-8,2020,7,0,12,-88.18078,40.687988,406.2,2.39,1.3855,100.9297956
ICG-Field-12,2020,3,0,12,-87.665113,40.3642997,142.6,2.67,1.4236,115.8548458
ICG-Field-12,2020,20,0,12,-87.664523,40.364213,127.4,2.53,1.3731,105.8857826
ICG-Field-12,2020,40,0,12,-87.664399,40.3635831,153.8,1.35,1.3943,57.3726564
ICG-Field-12,2020,56,0,12,-87.665096,40.3625881,229.7,1.74,1.404,74.4614208
ICG-Field-12,2020,47,0,12,-87.665331,40.3624966,139.6,2.13,1.377,89.3981448
ICG-Field-12,2020,34,0,12,-87.665092,40.3622277,237.8,1.49,1.4607,66.33798264
ICG-Field-12,2020,42,0,12,-87.663915,40.3622345,176.2,1.2,1.3688,50.0652288
ICG-Field-12,2020,24,0,12,-87.664032,40.3621437,232,1.1,1.4002,46.9459056
ICG-Field-12,2020,25,0,12,-87.663912,40.3619642,181.6,1.29,1.4002,55.05474384
ICG-Field-12,2020,31,0,12,-87.664498,40.3616906,178.1,1.61,1.3584,66.66049152
ICG-Field-12,2020,50,0,12,-87.664258,40.3612415,156.6,1.25,1.3798,52.57038
ICG-Field-12,2020,41,0,12,-87.664487,40.3605195,142.3,1.25,1.404,53.4924
ICG-Field-12,2020,14,0,12,-87.663662,40.3605242,179.9,1.7,1.3863,71.8325208
ICG-Field-12,2020,2,0,12,-87.662953,40.360258,190.1,1.25,1.4093,53.69433
ICG-Field-12,2020,49,0,12,-87.663422,40.3600751,154.6,1.1,1.3753,46.1110584
ICG-Field-12,2020,37,0,12,-87.664705,40.3588065,147.6,2.09,1.428,90.9681696
